Stock,Exchange,Sector,
Kantone Holdings Ltd. (1059),XHKG,Networking,
Karrie International Holdings Ltd. (1050),XHKG,Industrial Products,
Kasen International Holdings Ltd. (496),XHKG,Furniture,
Kato (Hong Kong) Holdings Ltd. (2189),XHKG,Healthcare Provision,
Keck Seng Investments (Hong Kong) Ltd. (184),XHKG,Real Estate Developers,
Keen Ocean International Holding Ltd. (8070),XHKG,Industrial Electronics,
Kelfred Holdings Ltd. (1134),XHKG,Medical Equipment/Supplies,
Kerry Logistics Network Ltd. (636),XHKG,Transportation Services,
Kerry Properties Ltd. (683),XHKG,Real Estate Developers,
Keymed Biosciences Inc. (2162),XHKG,Biotechnology,
Keyne Ltd. (9),XHKG,Real Estate Developers,
KFM Kingdom Holdings Ltd. (3816),XHKG,Industrial Products,
Khoon Group Ltd. (924),XHKG,Construction,
Kiddieland International Ltd. (3830),XHKG,Toys & Games,
Kidsland International Holdings Ltd. (2122),XHKG,Specialty Retail,
Kidztech Holdings Ltd. (6918),XHKG,Toys & Games,
Kimou Environmental Holding Ltd. (6805),XHKG,Real Estate Developers,
Kin Pang Holdings Ltd. (1722),XHKG,Construction,
Kin Shing Holdings Ltd. (1630),XHKG,Construction,
Kin Yat Holdings Ltd. (638),XHKG,Industrial Electronics,
Kindstar Globalgene Technology Inc. (9960),XHKG,Healthcare Provision,
Kinergy Corp. Ltd. (3302),XHKG,Semiconductors,
Kinetic Development Group Ltd. (1277),XHKG,Coal,
Kinetix Systems Holdings Ltd. (8606),XHKG,Computer Services,
King Fook Holdings Ltd. (280),XHKG,Clothing Retail,
King Stone Energy Group Ltd. (663),XHKG,Oil Extraction,
Kingbo Strike Ltd. (1421),XHKG,Construction,
Kingboard Holdings Ltd. (148),XHKG,Chemicals,
Kingboard Laminates Holdings Ltd. (1888),XHKG,Containers/Packaging,
Kingdee International Software Group Co. Ltd. (268),XHKG,Software,
Kingdom Holdings Ltd. (528),XHKG,Clothing,
Kingkey Financial International (Holdings) Ltd. (1468),XHKG,Finance Companies,
Kingkey Intelligence Culture Holdings Ltd. (550),XHKG,Advertising/Marketing/Public Relations,
Kingland Group Holdings Ltd. (1751),XHKG,Construction,
Kingmaker Footwear Holdings Ltd. (1170),XHKG,Footwear,
King's Flair International (Holdings) Ltd. (6822),XHKG,Housewares,
Kingsoft Corp. Ltd. (3888),XHKG,Software,
Kingston Financial Group Ltd. (1031),XHKG,Gambling Industries,
Kingwell Group Ltd. (1195),XHKG,Real Estate Developers,
Kingworld Medicines Group Ltd. (1110),XHKG,Drug Retail,
Kintor Pharmaceutical Ltd. (9939),XHKG,Pharmaceuticals,
Kirin Group Holdings Ltd. (8109),XHKG,Precision Products,
Kiu Hung International Holdings Ltd. (381),XHKG,Toys & Games,
KML Technology Group Ltd. (8065),XHKG,Technical Services,
KNK Holdings Ltd. (8039),XHKG,Construction,
KNT Holdings Ltd. (1025),XHKG,Clothing,
Ko Yo Chemical (Group) Ltd. (827),XHKG,Chemicals,
KOALA Financial Group Ltd. (8226),XHKG,Securities,
Kong Sun Holdings Ltd. (295),XHKG,Renewable Energy Generation,
Koolearn Technology Holding Ltd. (1797),XHKG,Consumer Services,
KOS International Holdings Ltd. (8042),XHKG,Employment/Training Services,
Kowloon Development Co. Ltd. (34),XHKG,Real Estate Developers,
KPa-BM Holdings Ltd. (2663),XHKG,Construction,
KPM Holding Ltd. (8027),XHKG,Advertising/Marketing/Public Relations,
Kuaishou Technology (1024),XHKG,Software,
KuangChi Science Ltd. (439),XHKG,Aerospace Products/Parts,
Kunlun Energy Co. Ltd. (135),XHKG,Oil Extraction,
Kunming Dianchi Water Treatment Co. Ltd. (3768),XHKG,Environment/Waste Management,
Kwan On Holdings Ltd. (1559),XHKG,Construction,
Kwan Yong Holdings Ltd. (9998),XHKG,Construction,
KWG Group Holdings Ltd. (1813),XHKG,Real Estate Developers,
KWG Living Group Holdings Ltd. (3913),XHKG,Real Estate Developers,
Kwong Luen Engineering Holdings Ltd. (1413),XHKG,Construction,
Kwong Man Kee Group Ltd. (8023),XHKG,Construction,
Kwoon Chung Bus Holdings Ltd. (306),XHKG,"Passenger Transport, Other",
Kwung's Holdings Ltd. (1925),XHKG,Building Materials/Products,
Labixiaoxin Snacks Group Ltd. (1262),XHKG,Food Products,
Lai Fung Holdings Ltd. (1125),XHKG,Real Estate Developers,
Lai Group Holding Co. Ltd. (8455),XHKG,General Services,
Lai Si Enterprise Holding Ltd. (2266),XHKG,Construction,
Lai Sun Development Co. Ltd. (488),XHKG,Real Estate Developers,
Lai Sun Garment (International) Ltd. (191),XHKG,Real Estate Developers,
Lajin Entertainment Network Group Ltd. (8172),XHKG,Recreational Services,
Lam Soon (Hong Kong) Ltd. (411),XHKG,Food Products,
Landing International Development Ltd. (582),XHKG,Gambling Industries,
Landrich Holding Ltd. (2132),XHKG,Construction,
Landsea Green Life Service Co. Ltd. (1965),XHKG,Real Estate Developers,
Landsea Green Properties Co. Ltd. (106),XHKG,Real Estate Developers,
Langham Hospitality Investments Ltd. (1270),XHKG,Hotels,
Lansen Pharmaceutical Holdings Ltd. (503),XHKG,Pharmaceuticals,
Lanzhou Zhuangyuan Pasture Co. Ltd. (1533),XHKG,Food Products,
Lap Kei Engineering (Holdings) Ltd. (1690),XHKG,Technical Services,
Lapco Holdings Ltd. (8472),XHKG,General Services,
Launch Tech Co. Ltd. (2488),XHKG,Precision Products,
Le Saunda Holdings Ltd. (738),XHKG,Clothing Retail,
Leader Education Ltd. (1449),XHKG,Consumer Services,
Leading Holdings Group Ltd. (6999),XHKG,Real Estate Developers,
Lee & Man Chemical Co. Ltd. (746),XHKG,Chemicals,
Lee & Man Paper Manufacturing Ltd. (2314),XHKG,Paper/Pulp,
Lee Kee Holdings Ltd. (637),XHKG,Non-Ferrous Metals,
Leeport (Holdings) Ltd. (387),XHKG,Industrial Machinery,
Lee's Pharmaceutical Holdings Ltd. (950),XHKG,Pharmaceuticals,
Left Field Printing Group Ltd. (1540),XHKG,Printing,
Legend Holdings Corp. (3396),XHKG,Diversified Holding Companies,
Legend Strategy International Holdings Group Co. Ltd. (1355),XHKG,Hotels,
Legion Consortium Ltd. (2129),XHKG,Transportation Services,
Lenovo Group Ltd. (992),XHKG,Computers/Consumer Electronics,
Leoch International Technology Ltd. (842),XHKG,Industrial Electronics,
Lerado Financial Group Co. Ltd. (1225),XHKG,Diversified Holding Companies,
Lever Style Corp. (1346),XHKG,Transportation Services,
LFG Investment Holdings Ltd. (3938),XHKG,Investment Advisors,
LH Group Ltd. (1978),XHKG,Restaurants,
LHN Ltd. (1730),XHKG,Real Estate Developers,
Li Auto Inc. (2015),XHKG,Automobiles,
Li Bao Ge Group Ltd. (1869),XHKG,Restaurants,
Li Ning Co. Ltd. (2331),XHKG,Specialty Retail,
Lianhua Supermarket Holdings Co. Ltd. (980),XHKG,Food Retail,
Liaoning Port Co. Ltd. (2880),XHKG,Water Transport/Shipping,
Life Concepts Holdings Ltd. (8056),XHKG,Restaurants,
Life Healthcare Group Ltd. (928),XHKG,Software,
Lifestyle China Group Ltd. (2136),XHKG,Mixed Retailing,
Lifestyle International Holdings Ltd. (1212),XHKG,Mixed Retailing,
LifeTech Scientific Corp. (1302),XHKG,Medical Equipment/Supplies,
Linekong Interactive Group Co. Ltd. (8267),XHKG,Toys & Games,
Ling Yue Services Group Ltd. (2165),XHKG,Real Estate Developers,
Ling Yui Holdings Ltd. (784),XHKG,Construction,
Lingbao Gold Group Co. Ltd. (3330),XHKG,Gold,
Link Holdings Ltd. (8237),XHKG,Hotels,
Link Real Estate Investment Trust (823),XHKG,Retail REITs,
Link-Asia International MedTech Group Ltd. (1143),XHKG,Networking,
Linklogis Inc. (9959),XHKG,Computer Services,
Linocraft Holdings Ltd. (8383),XHKG,Printing,
Lion Rock Group Ltd. (1127),XHKG,Printing,
Lippo China Resources Ltd. (156),XHKG,Diversified Holding Companies,
Lippo Ltd. (226),XHKG,Diversified Holding Companies,
Litian Pictures Holdings Ltd. (9958),XHKG,Motion Picture/Sound Recording,
Liu Chong Hing Investment Ltd. (194),XHKG,Real Estate Developers,
Livzon Pharmaceutical Group Inc. (1513),XHKG,Pharmaceuticals,
LK Technology Holdings Ltd. (558),XHKG,Industrial Machinery,
L'Occitane International S.A. (973),XHKG,Specialty Retail,
Loco Hong Kong Holdings Ltd. (8162),XHKG,Wholesalers,
Logan Group Co. Ltd. (3380),XHKG,Real Estate Developers,
Longfor Group Holdings Ltd. (960),XHKG,Real Estate Developers,
Longhui International Holdings Ltd. (1007),XHKG,Food Products,
LongiTech Smart Energy Holding Ltd. (1281),XHKG,Construction,
Lonking Holdings Ltd. (3339),XHKG,Mobile Machinery,
Loto Interactive Ltd. (8198),XHKG,Gambling Industries,
Lotus Horizon Holdings Ltd. (6063),XHKG,Construction,
Luen Thai Holdings Ltd. (311),XHKG,Clothing,
Luen Wong Group Holdings Ltd. (8217),XHKG,Construction,
Luk Fook Holdings International Ltd. (590),XHKG,Clothing Retail,
Luk Hing Entertainment Group Holdings Ltd. (8052),XHKG,Recreational Services,
Luks Group (Vietnam Holdings) Co. Ltd. (366),XHKG,Building Materials/Products,
Lumina Group Ltd. (1162),XHKG,Construction,
Lung Kee (Bermuda) Holdings Ltd. (255),XHKG,Industrial Products,
Luoyang Glass Co. Ltd. (1108),XHKG,Industrial Products,
Luxey International (Holdings) Ltd. (8041),XHKG,Clothing,
Luxxu Group Ltd. (1327),XHKG,Jewelry & Watches,
Luye Pharma Group Ltd. (2186),XHKG,Pharmaceuticals,
Luzheng Futures Co. Ltd. (1461),XHKG,Securities,
Luzhou Bank Co. Ltd. (1983),XHKG,Banking,
Luzhou Xinglu Water (Group) Co. Ltd. (2281),XHKG,Water Utilities,
LVGEM (China) Real Estate Investment Co. Ltd. (95),XHKG,Real Estate Developers,
Lvji Technology Holdings Inc. (1745),XHKG,Tourism,
M&L Holdings Group Ltd. (8152),XHKG,Mobile Machinery,
Maanshan Iron & Steel Co. Ltd. (323),XHKG,Iron/Steel,
Mabpharm Ltd. (2181),XHKG,Pharmaceuticals,
Macau E&M Holding Ltd. (1408),XHKG,Technical Services,
Macau Legend Development Ltd. (1680),XHKG,Gambling Industries,
Madison Holdings Group Ltd. (8057),XHKG,Alcoholic Beverages/Drinks,
Magnificent Hotel Investments Ltd. (201),XHKG,Hotels,
Magnus Concordia Group Ltd. (1172),XHKG,Printing,
Maike Tube Industry Holdings Ltd. (1553),XHKG,Building Materials/Products,
Mainland Headwear Holdings Ltd. (1100),XHKG,Clothing,
Major Holdings Ltd. (1389),XHKG,Food Retail,
Man King Holdings Ltd. (2193),XHKG,Construction,
Man Sang International Ltd. (938),XHKG,Real Estate Developers,
Man Shing Global Holdings Ltd. (8309),XHKG,Environment/Waste Management,
Man Shun Group (Holdings) Ltd. (1746),XHKG,Construction,
Man Wah Holdings Ltd. (1999),XHKG,Furniture,
Man Yue Technology Holdings Ltd. (894),XHKG,Industrial Electronics,
ManpowerGroup Greater China Ltd. (2180),XHKG,Employment/Training Services,
Mansion International Holdings Ltd. (8456),XHKG,Clothing,
Manulife Financial Corp. (945),XHKG,Life Insurance,
Maoyan Entertainment (1896),XHKG,Specialty Retail,
Maoye International Holdings Ltd. (848),XHKG,Mixed Retailing,
Mason Group Holdings Ltd. (273),XHKG,Specialty Retail,
Matrix Holdings Ltd. (1005),XHKG,Toys & Games,
Max Sight Group Holdings Ltd. (8483),XHKG,Consumer Services,
Maxicity Holdings Ltd. (8216),XHKG,Construction,
Maxnerva Technology Services Ltd. (1037),XHKG,Industrial Electronics,
Mayer Holdings Ltd. (1116),XHKG,Iron/Steel,
MBV International Ltd. (1957),XHKG,Clothing,
MECOM Power & Construction Ltd. (1183),XHKG,Construction,
Media Asia Group Holdings Ltd. (8075),XHKG,Motion Picture/Sound Recording,
Medialink Group Ltd. (2230),XHKG,Motion Picture/Sound Recording,
Medicskin Holdings Ltd. (8307),XHKG,Healthcare Provision,
MediNet Group Ltd. (8161),XHKG,Healthcare Provision,
Mediwelcome Healthcare Management & Technology Inc. (2159),XHKG,Healthcare Provision,
Medlive Technology Co. Ltd. (2192),XHKG,Healthcare Provision,
MEGAIN Holding (Cayman) Co. Ltd. (6939),XHKG,Semiconductors,
Mei Ah Entertainment Group Ltd. (391),XHKG,Motion Picture/Sound Recording,
Meilleure Health International Industry Group Ltd. (2327),XHKG,Pharmaceuticals,
Meitu Inc. (1357),XHKG,Software,
Meituan (3690),XHKG,Internet/Online,
Melbourne Enterprises Ltd. (158),XHKG,Real Estate Developers,
Melco International Development Ltd. (200),XHKG,Gambling Industries,
Merdeka Financial Group Ltd. (8163),XHKG,Wholesalers,
Metallurgical Corp. of China Ltd. (1618),XHKG,Technical Services,
Metropolis Capital Holdings Ltd. (8621),XHKG,Consumer Finance,
Mexan Ltd. (22),XHKG,Real Estate Developers,
MGM China Holdings Ltd. (2282),XHKG,Gambling Industries,
MI Ming Mart Holdings Ltd. (8473),XHKG,Specialty Retail,
Microport Cardioflow Medtech Corp. (2160),XHKG,Medical Equipment/Supplies,
MicroPort Scientific Corp. (853),XHKG,Medical Equipment/Supplies,
MicroTech Medical (Hangzhou) Co. Ltd. (2235),XHKG,Medical Equipment/Supplies,
Microware Group Ltd. (1985),XHKG,Computer Services,
Midea Real Estate Holding Ltd. (3990),XHKG,Real Estate Developers,
Midland Holdings Ltd. (1200),XHKG,Real Estate Developers,
Midland IC&I Ltd. (459),XHKG,Real Estate Developers,
MIE Holdings Corp. (1555),XHKG,Oil Extraction,
Miji International Holdings Ltd. (1715),XHKG,Housewares,
Miko International Holdings Ltd. (1247),XHKG,Clothing,
Milan Station Holdings Ltd. (1150),XHKG,Clothing Retail,
Milestone Builder Holdings Ltd. (1667),XHKG,Construction,
Millennium Pacific Group Holdings Ltd. (8147),XHKG,Computers/Consumer Electronics,
Million Hope Industries Holdings Ltd. (1897),XHKG,Construction,
Min Xin Holdings Ltd. (222),XHKG,Wholesalers,
Mindtell Technology Ltd. (8611),XHKG,Computer Services,
Ming Fai International Holdings Ltd. (3828),XHKG,Personal Care Products/Appliances,
Ming Yuan Cloud Group Holdings Ltd. (909),XHKG,Internet/Online,
Mingfa Group (International) Co. Ltd. (846),XHKG,Real Estate Developers,
Minmetals Land Ltd. (230),XHKG,Real Estate Developers,
Minshang Creative Technology Holdings Ltd. (1632),XHKG,Restaurants,
Minsheng Education Group Co. Ltd. (1569),XHKG,Consumer Services,
Minth Group Ltd. (425),XHKG,Motor Vehicle Parts,
Miramar Hotel & Investment Co. Ltd. (71),XHKG,Hotels,
Miricor Enterprises Holdings Ltd. (1827),XHKG,Healthcare Provision,
MMG Ltd. (1208),XHKG,Non-Ferrous Metals,
MOBI Development Co. Ltd. (947),XHKG,Networking,
Mobicon Group Ltd. (1213),XHKG,Wholesalers,
Mobile Internet (China) Holdings Ltd. (1439),XHKG,Containers/Packaging,
Mobvista Inc. (1860),XHKG,Advertising/Marketing/Public Relations,
Modern Chinese Medicine Group Co. Ltd. (1643),XHKG,Pharmaceuticals,
Modern Dental Group Ltd. (3600),XHKG,Medical Equipment/Supplies,
Modern Healthcare Technology Holdings Ltd. (919),XHKG,Consumer Services,
Modern Living Investments Holdings Ltd. (8426),XHKG,Real Estate Developers,
MOG Holdings Ltd. (1942),XHKG,Specialty Retail,
Moiselle International Holdings Ltd. (130),XHKG,Clothing Retail,
Mongolia Energy Corp. Ltd. (276),XHKG,Coal,
Mongolian Mining Corp. (975),XHKG,Coal,
Moody Technology Holdings Ltd. (1400),XHKG,Clothing,
Morimatsu International Holdings Co. Ltd. (2155),XHKG,Industrial Machinery,
Morris Home Holdings Ltd. (1575),XHKG,Furniture,
MOS House Group Ltd. (1653),XHKG,Home Goods Retail,
Most Kwai Chung Ltd. (1716),XHKG,Advertising/Marketing/Public Relations,
MS Concept Ltd. (8447),XHKG,Restaurants,
MS Group Holdings Ltd. (1451),XHKG,Housewares,
MTR Corp. Ltd. (66),XHKG,Railroads,
Mulsanne Group Holding Ltd. (1817),XHKG,Clothing Retail,
Multifield International Holdings Ltd. (898),XHKG,Real Estate Developers,
NagaCorp Ltd. (3918),XHKG,Gambling Industries,
Nameson Holdings Ltd. (1982),XHKG,Clothing,
Nan Hai Corp. Ltd. (680),XHKG,Real Estate Developers,
Nan Nan Resources Enterprise Ltd. (1229),XHKG,Coal,
Nanfang Communication Holdings Ltd. (1617),XHKG,Industrial Electronics,
Nanjing Panda Electronics Co. Ltd. (553),XHKG,Networking,
Nanjing Sample Technology Co. Ltd. (1708),XHKG,Semiconductors,
Nanjing Sinolife United Co. Ltd. (3332),XHKG,Food Retail,
Nanyang Holdings Ltd. (212),XHKG,Real Estate Developers,
Narnia (Hong Kong) Group Co. Ltd. (8607),XHKG,Clothing,
National Arts Group Holdings Ltd. (8228),XHKG,Motion Picture/Sound Recording,
National Electronics Holdings Ltd. (213),XHKG,Jewelry & Watches,
Natural Beauty Bio-Technology Ltd. (157),XHKG,Personal Care Products/Appliances,
Natural Food International Holding Ltd. (1837),XHKG,Food Products,
Nayuki Holdings Ltd. (2150),XHKG,Restaurants,
Neo Telemedia Ltd. (8167),XHKG,Motion Picture/Sound Recording,
Neo-Neon Holdings Ltd. (1868),XHKG,Industrial Electronics,
Net-a-Go Technology Co. Ltd. (1483),XHKG,Environment/Waste Management,
NetDragon Websoft Holdings Ltd. (777),XHKG,Toys & Games,
Netease Inc. (9999),XHKG,Internet/Online,
Netjoy Holdings Ltd. (2131),XHKG,Advertising/Marketing/Public Relations,
Neusoft Education Technology Co. Ltd. (9616),XHKG,Employment/Training Services,
New Century Group Hong Kong Ltd. (234),XHKG,Tourism,
New Century Healthcare Holding Co. Ltd. (1518),XHKG,Healthcare Provision,
New China Life Insurance Co. Ltd. (1336),XHKG,Life Insurance,
New City Development Group Ltd. (456),XHKG,Real Estate Developers,
New Concepts Holdings Ltd. (2221),XHKG,Construction,
New Focus Auto Tech Holdings Ltd. (360),XHKG,Motor Vehicle Parts,
New Hope Service Holdings Ltd. (3658),XHKG,Real Estate Developers,
New Horizon Health Ltd. (6606),XHKG,Medical Equipment/Supplies,
New Oriental Education & Technology Group Inc. (9901),XHKG,Consumer Services,
New Provenance Everlasting Holdings Ltd. (2326),XHKG,Wholesalers,
New Silkroad Culturaltainment Ltd. (472),XHKG,Alcoholic Beverages/Drinks,
New Sparkle Roll International Group Ltd. (970),XHKG,Specialty Retail,
New Times Energy Corp. Ltd. (166),XHKG,Oil Extraction,
New Universe Environmental Group Ltd. (436),XHKG,Environment/Waste Management,
New World Department Store China Ltd. (825),XHKG,Mixed Retailing,
New World Development Co. Ltd. (17),XHKG,Real Estate Developers,
Neway Group Holdings Ltd. (55),XHKG,Printing,
Newborn Town Inc. (9911),XHKG,Software,
Newlink Technology Inc. (9600),XHKG,Software,
NewOcean Energy Holdings Ltd. (342),XHKG,Pipeline Transportation,
Nexion Technologies Ltd. (8420),XHKG,Computer Services,
Nexteer Automotive Group Ltd. (1316),XHKG,Motor Vehicle Parts,
Ngai Hing Hong Co. Ltd. (1047),XHKG,Chemicals,
Niche Tech Group Ltd. (8490),XHKG,Semiconductors,
Nimble Holdings Co. Ltd. (186),XHKG,Housewares,
Nine Dragons Paper Holdings Ltd. (2689),XHKG,Nondurable Household Products,
Niraku GC Holdings Inc. (1245),XHKG,Gambling Industries,
Nissin Foods Co. Ltd. (1475),XHKG,Food Products,
NNK Group Ltd. (3773),XHKG,Wireless Telecommunications Services,
Noble Engineering Group Holdings Ltd. (8445),XHKG,Construction,
Nomad Technologies Holdings Ltd. (8645),XHKG,Networking,
Nongfu Spring Co. Ltd. (9633),XHKG,Non-Alcoholic Beverages/Drinks,
North Asia Strategic Holdings Ltd. (8080),XHKG,Semiconductors,
Northeast Electric Development Co. Ltd. (42),XHKG,Industrial Electronics,
NOVA Group Holdings Ltd. (1360),XHKG,Advertising/Marketing/Public Relations,
Novacon Technology Group Ltd. (8635),XHKG,Computer Services,
NVC International Holdings Ltd. (2222),XHKG,Industrial Electronics,
NWS Holdings Ltd. (659),XHKG,Transportation Services,
Ocean Line Port Development Ltd. (8502),XHKG,Water Transport/Shipping,
Ocean One Holding Ltd. (8476),XHKG,Food Retail,
Ocean Star Technology Group Ltd. (8297),XHKG,Clothing Retail,
OCI International Holdings Ltd. (329),XHKG,Pharmaceuticals,
Ocumension Therapeutics (1477),XHKG,Pharmaceuticals,
Oi Wah Pawnshop Credit Holdings Ltd. (1319),XHKG,Finance Companies,
OKG Technology Holdings Ltd. (1499),XHKG,Construction,
Okura Holdings Ltd. (1655),XHKG,Gambling Industries,
Omnibridge Holdings Ltd. (8462),XHKG,Employment/Training Services,
On Real International Holdings Ltd. (8245),XHKG,Audio/Video Equipment,
One Media Group Ltd. (426),XHKG,Publishing,
OneForce Holdings Ltd. (1933),XHKG,Software,
OOH Holdings Ltd. (8091),XHKG,Advertising/Marketing/Public Relations,
Optima Automobile Group Holdings Ltd. (8418),XHKG,General Services,
Orange Sky Golden Harvest Entertainment (Holdings) Ltd. (1132),XHKG,Motion Picture/Sound Recording,
Orange Tour Cultural Holding Ltd. (8627),XHKG,Advertising/Marketing/Public Relations,
Orient Overseas (International) Ltd. (316),XHKG,Water Transport/Shipping,
Orient Securities Co. Ltd. (3958),XHKG,Securities,
Orient Securities International Holdings Ltd. (8001),XHKG,Securities,
Oriental Enterprise Holdings Ltd. (18),XHKG,Publishing,
Oriental Explorer Holdings Ltd. (430),XHKG,Iron/Steel,
Oriental Payment Group Holdings Ltd. (8613),XHKG,Consumer Finance,
Oriental University City Holdings (H.K.) Ltd. (8067),XHKG,Real Estate Developers,
Oriental Watch Holdings Ltd. (398),XHKG,Clothing Retail,
Oshidori International Holdings Ltd. (622),XHKG,Consumer Finance,
Ourgame International Holdings Ltd. (6899),XHKG,Toys & Games,
Overseas Chinese Town (Asia) Holdings Ltd. (3366),XHKG,Containers/Packaging,
P.B. Group Ltd. (8331),XHKG,General Mining,
Pa Shun International Holdings Ltd. (574),XHKG,Drug Retail,
Pacific Basin Shipping Ltd. (2343),XHKG,Water Transport/Shipping,
Pacific Century Premium Developments Ltd. (432),XHKG,Real Estate Developers,
Pacific Legend Group Ltd. (8547),XHKG,Home Goods Retail,
Pacific Millennium Packaging Group Corp. (1820),XHKG,Containers/Packaging,
Pacific Online Ltd. (543),XHKG,Advertising/Marketing/Public Relations,
Pacific Textiles Holdings Ltd. (1382),XHKG,Clothing,
PacRay International Holdings Ltd. (1010),XHKG,Semiconductors,
Pak Fah Yeow International Ltd. (239),XHKG,Pharmaceuticals,
Pak Tak International Ltd. (2668),XHKG,Clothing,
Palace Banquet Holdings Ltd. (1703),XHKG,Restaurants,
Paliburg Holdings Ltd. (617),XHKG,Hotels,
Palinda Group Holdings Ltd. (8179),XHKG,Food Retail,
Pan Asia Data Holdings Inc. (1561),XHKG,Building Materials/Products,
Pan Asia Environmental Protection Group Ltd. (556),XHKG,Wholesalers,
PanAsialum Holdings Co. Ltd. (2078),XHKG,Aluminum,
Pangaea Connectivity Technology Ltd. (1473),XHKG,Wholesalers,
Paradise Entertainment Ltd. (1180),XHKG,Gambling Industries,
Parkson Retail Group Ltd. (3368),XHKG,Mixed Retailing,
Pax Global Technology Ltd. (327),XHKG,Computers/Consumer Electronics,
PC Partner Group Ltd. (1263),XHKG,Industrial Electronics,
PCCW Ltd. (8),XHKG,Wired Telecommunications Services,
Peijia Medical Ltd. (9996),XHKG,Medical Equipment/Supplies,
Peiport Holdings Ltd. (2885),XHKG,Precision Products,
Pentamaster International Ltd. (1665),XHKG,Precision Products,
People's Insurance Co. (Group) of China Ltd. (1339),XHKG,Full-Line Insurance,
Perennial Energy Holdings Ltd. (2798),XHKG,Coal,
Perennial International Ltd. (725),XHKG,Industrial Electronics,
Perfect Group International Holdings Ltd. (3326),XHKG,Jewelry & Watches,
Perfect Medical Health Management Ltd. (1830),XHKG,Consumer Services,
Perfect Optronics Ltd. (8311),XHKG,Computers/Consumer Electronics,
Perfectech International Holdings Ltd. (765),XHKG,Toys & Games,
Persta Resources Inc. (3395),XHKG,Oil Extraction,
PetroChina Co. Ltd. (857),XHKG,Major Oil & Gas,
Petro-King Oilfield Services Ltd. (2178),XHKG,Oil & Gas Products/Services,
PF Group Holdings Ltd. (8221),XHKG,Securities,
PFC Device Inc. (8231),XHKG,Semiconductors,
Pharmaron Beijing Co. Ltd. (3759),XHKG,Healthcare Provision,
Phoenitron Holdings Ltd. (8066),XHKG,Precision Products,
Phoenix Media Investment (Holdings) Ltd. (2008),XHKG,Broadcasting,
PICC Property & Casualty Co. Ltd. (2328),XHKG,Non-Life Insurance,
Pico Far East Holdings Ltd. (752),XHKG,Advertising/Marketing/Public Relations,
Pine Technology Holdings Ltd. (1079),XHKG,Computers/Consumer Electronics,
Pinestone Capital Ltd. (804),XHKG,Finance Companies,
Ping An Healthcare & Technology Co. Ltd. (1833),XHKG,Healthcare Provision,
Ping An Insurance (Group) Co. of China Ltd. (2318),XHKG,Full-Line Insurance,
Pioneer Global Group Ltd. (224),XHKG,Real Estate Developers,
Pizu Group Holdings Ltd. (8053),XHKG,Chemicals,
Planetree International Development Ltd. (613),XHKG,Real Estate Developers,
Platt Nera International Ltd. (1949),XHKG,Computer Services,
Playmates Holdings Ltd. (635),XHKG,Toys & Games,
Playmates Toys Ltd. (869),XHKG,Toys & Games,
Plover Bay Technologies Ltd. (1523),XHKG,Networking,
Poly Culture Group Corp. Ltd. (3636),XHKG,Mixed Retailing,
Poly Property Group Co. Ltd. (119),XHKG,Real Estate Developers,
Poly Property Services Co. Ltd. (6049),XHKG,Real Estate Developers,
Polyard Petroleum International Group Ltd. (8011),XHKG,Oil Extraction,
Polyfair Holdings Ltd. (8532),XHKG,Construction,
Pop Mart International Group Ltd. (9992),XHKG,Toys & Games,
Postal Savings Bank of China Co. Ltd. (1658),XHKG,Banking,
Pou Sheng International Holdings Ltd. (3813),XHKG,Clothing Retail,
Power Assets Holdings Ltd. (6),XHKG,Electric Utilities,
Power Financial Group Ltd. (397),XHKG,Finance Companies,
Powerlong Commercial Management Holdings Ltd. (9909),XHKG,Diversified Business Services,
Powerlong Real Estate Holdings Ltd. (1238),XHKG,Real Estate Developers,
PPS International (Holdings) Ltd. (8201),XHKG,Diversified Business Services,
Prada S.p.A. (1913),XHKG,Clothing,
Precious Dragon Technology Holdings Ltd. (1861),XHKG,Nondurable Household Products,
Precision Tsugami (China) Corp. Ltd. (1651),XHKG,Industrial Machinery,
Prime Intelligence Solutions Group Ltd. (8379),XHKG,Precision Products,
Prinx Chengshan Holdings Ltd. (1809),XHKG,Tires,
Progressive Path Group Holdings Ltd. (1581),XHKG,Construction,
Prosper Construction Holdings Ltd. (6816),XHKG,Construction,
Prosper One International Holdings Co. Ltd. (1470),XHKG,Clothing Retail,
Prosperity Investment Holdings Ltd. (310),XHKG,Finance Companies,
Prosperity Real Estate Investment Trust (808),XHKG,Industrial/Office REITs,
Prosperous Future Holdings Ltd. (1259),XHKG,Personal Care Products/Appliances,
Prosperous Industrial (Holdings) Ltd. (1731),XHKG,Leisure Goods,
Prosperous Printing Co. Ltd. (8385),XHKG,Printing,
Prudential PLC (2378),XHKG,Life Insurance,
PT International Development Corp. Ltd. (372),XHKG,Wholesalers,
Public Financial Holdings Ltd. (626),XHKG,Banking,
Pujiang International Group Ltd. (2060),XHKG,Building Materials/Products,
Purapharm Corp. Ltd. (1498),XHKG,Pharmaceuticals,
Putian Communication Group Ltd. (1720),XHKG,Industrial Electronics,
Puxing Energy Ltd. (90),XHKG,Electric Utilities,
PW Medtech Group Ltd. (1358),XHKG,Medical Equipment/Supplies,
Q P Group Holdings Ltd. (1412),XHKG,Nondurable Household Products,
